# Vercel 边缘缓存命中报告

> 生成时间：2026-08-13 03:57:20 UTC

| 指标 | 数值 |
|------|------|
| 总页面数 | 147 |
| 命中 HIT | 147 |
| 未命中 MISS | 0 |
| 命中率 | 100.0% |

## 详细状态

| 状态 | URL |
|------|-----|
| HIT | https://upxuu.com |
| HIT | https://upxuu.com/about |
| HIT | https://upxuu.com/talk |
| HIT | https://upxuu.com/friends |
| HIT | https://upxuu.com/links |
| HIT | https://upxuu.com/posts |
| HIT | https://upxuu.com/privacy |
| HIT | https://upxuu.com/posts/%e5%85%b3%e4%ba%8e%e5%93%97%e4%bc%97%e5%8f%96%e4%b8%91%e8%a1%8c%e4%b8%ba%e5%87%a0%e7%82%b9%e7%9c%8b%e6%b3%95 |
| HIT | https://upxuu.com/posts/%e5%9b%9e%e8%80%81%e5%ae%b6%e5%8a%9b |
| HIT | https://upxuu.com/posts/%e5%bf%83%e5%b7%b2%e7%bb%8f%e8%a2%ab%e4%bc%a4%e7%9a%84%e9%80%8f%e9%80%8f%e7%9a%84%e4%ba%86%ef%bc%8c%e4%bd%a0%e4%bb%ac%e6%84%bf%e6%84%8f%e8%b0%81%e7%bb%b4%e6%8a%a4%e7%8f%ad%e7%ba%a7%e7%bd%91%e7%ab%99 |
| HIT | https://upxuu.com/posts/%e6%88%91%e5%8e%bb%e6%97%b6%e9%97%b4%e6%9c%89%e7%82%b9%e6%9e%81%e9%99%90 |
| HIT | https://upxuu.com/posts/%e6%9c%80%e5%86%b7%e7%9a%84%e4%b8%80%e9%9b%86 |
| HIT | https://upxuu.com/posts/%e7%bb%88%e4%ba%8e%e6%90%9e%e5%a5%bd%e4%ba%86 |
| HIT | https://upxuu.com/posts/%e8%80%83%e8%af%95%e5%91%a8%e6%88%91%e7%9a%84%e5%bf%83%e8%84%8fbelike |
| HIT | https://upxuu.com/posts/%e8%b6%b3%e7%90%83%e7%bb%95%e6%9d%86%e7%bb%88%e4%ba%8e%e6%8b%bf%e6%8d%8f%e4%ba%86 |
| HIT | https://upxuu.com/posts/%e9%9b%aa%e6%b3%a5%e9%b8%bf%e7%88%aa%e7%9a%84%e5%85%ac%e4%bc%97%e5%8f%b79-24 |
| HIT | https://upxuu.com/posts/0112 |
| HIT | https://upxuu.com/posts/192 |
| HIT | https://upxuu.com/posts/2025-10-03-142311 |
| HIT | https://upxuu.com/posts/2025-10-05-092830 |
| HIT | https://upxuu.com/posts/2025-9-27-%e5%9b%bd%e5%ba%86%e6%96%87%e8%89%ba%e6%b1%87%e6%bc%94 |
| HIT | https://upxuu.com/posts/20260111-2 |
| HIT | https://upxuu.com/posts/2026qimo |
| HIT | https://upxuu.com/posts/2427%e5%ad%a6%e4%b9%a0%e7%be%a4-%e5%85%ac%e5%91%8a |
| HIT | https://upxuu.com/posts/2427%e7%8f%ad%e7%ba%a7%e7%be%a4-%e5%85%ac%e5%91%8a |
| HIT | https://upxuu.com/posts/26qingming |
| HIT | https://upxuu.com/posts/26springfestival |
| HIT | https://upxuu.com/posts/26summer |
| HIT | https://upxuu.com/posts/500 |
| HIT | https://upxuu.com/posts/51traveling |
| HIT | https://upxuu.com/posts/53666-2 |
| HIT | https://upxuu.com/posts/5a-net-test |
| HIT | https://upxuu.com/posts/81192-25years |
| HIT | https://upxuu.com/posts/a66 |
| HIT | https://upxuu.com/posts/about-license-change |
| HIT | https://upxuu.com/posts/about-piracy-incident |
| HIT | https://upxuu.com/posts/about-upxuu-from-74-posts |
| HIT | https://upxuu.com/posts/aeasyhomework |
| HIT | https://upxuu.com/posts/aiarticle |
| HIT | https://upxuu.com/posts/astro-tailwind |
| HIT | https://upxuu.com/posts/backtowin10 |
| HIT | https://upxuu.com/posts/bad-journey |
| HIT | https://upxuu.com/posts/birth15 |
| HIT | https://upxuu.com/posts/blog-admin |
| HIT | https://upxuu.com/posts/blog-subscribe |
| HIT | https://upxuu.com/posts/blogupdate322 |
| HIT | https://upxuu.com/posts/bye-to-cheng |
| HIT | https://upxuu.com/posts/cdw |
| HIT | https://upxuu.com/posts/cfworkers-ip |
| HIT | https://upxuu.com/posts/comtest |
| HIT | https://upxuu.com/posts/cui |
| HIT | https://upxuu.com/posts/deepseek-price-drop |
| HIT | https://upxuu.com/posts/dilidati |
| HIT | https://upxuu.com/posts/dswuli |
| HIT | https://upxuu.com/posts/dsym |
| HIT | https://upxuu.com/posts/dszk |
| HIT | https://upxuu.com/posts/extalk |
| HIT | https://upxuu.com/posts/failure-on-excel |
| HIT | https://upxuu.com/posts/free-ip-api |
| HIT | https://upxuu.com/posts/freemusic |
| HIT | https://upxuu.com/posts/friend-link-system |
| HIT | https://upxuu.com/posts/fuck-qas458-com |
| HIT | https://upxuu.com/posts/grade8-chinese-final-review |
| HIT | https://upxuu.com/posts/have-to-leave |
| HIT | https://upxuu.com/posts/hello-world |
| HIT | https://upxuu.com/posts/huawei-dns |
| HIT | https://upxuu.com/posts/indexnow-auto-index |
| HIT | https://upxuu.com/posts/kaleido |
| HIT | https://upxuu.com/posts/letter-to-c |
| HIT | https://upxuu.com/posts/markdown-render-test |
| HIT | https://upxuu.com/posts/markdown-test |
| HIT | https://upxuu.com/posts/my-exam-file |
| HIT | https://upxuu.com/posts/my-first-important-exam |
| HIT | https://upxuu.com/posts/my-first-music |
| HIT | https://upxuu.com/posts/my-zhongkao-first-stop |
| HIT | https://upxuu.com/posts/my2025 |
| HIT | https://upxuu.com/posts/mynewdomain |
| HIT | https://upxuu.com/posts/myprinter |
| HIT | https://upxuu.com/posts/nbip |
| HIT | https://upxuu.com/posts/new-api |
| HIT | https://upxuu.com/posts/newblog |
| HIT | https://upxuu.com/posts/newcommentsystem |
| HIT | https://upxuu.com/posts/nginx-to-caddy |
| HIT | https://upxuu.com/posts/no-cf-vercel |
| HIT | https://upxuu.com/posts/nvidia-build |
| HIT | https://upxuu.com/posts/oh-my-serverrrr |
| HIT | https://upxuu.com/posts/ohhhh-my-disk |
| HIT | https://upxuu.com/posts/omg |
| HIT | https://upxuu.com/posts/our2427 |
| HIT | https://upxuu.com/posts/primary-life |
| HIT | https://upxuu.com/posts/rip-weflow |
| HIT | https://upxuu.com/posts/roadyesterday |
| HIT | https://upxuu.com/posts/seed-file |
| HIT | https://upxuu.com/posts/somephoto |
| HIT | https://upxuu.com/posts/something-wrong |
| HIT | https://upxuu.com/posts/subme |
| HIT | https://upxuu.com/posts/to-liaozhong |
| HIT | https://upxuu.com/posts/to-zhengding |
| HIT | https://upxuu.com/posts/vercel-docker-significance |
| HIT | https://upxuu.com/posts/vercel-youxuan-cache |
| HIT | https://upxuu.com/posts/vercel666 |
| HIT | https://upxuu.com/posts/wasmer |
| HIT | https://upxuu.com/posts/woc-%e6%88%91%e4%bd%9c%e4%b8%9a%e5%a5%bd%e5%83%8f%e8%90%bd%e9%99%95%e8%a5%bf%e4%ba%86%ef%bc%81%ef%bc%81%ef%bc%81 |
| HIT | https://upxuu.com/posts/wrong-about-seo |
| HIT | https://upxuu.com/posts/wuwuwu |
| HIT | https://upxuu.com/posts/wuwuwu-2 |
| HIT | https://upxuu.com/posts/xuai-implementation |
| HIT | https://upxuu.com/posts/xucms |
| HIT | https://upxuu.com/posts/xuhome-cubie |
| HIT | https://upxuu.com/posts/xyzdomain |
| HIT | https://upxuu.com/posts/yuanbaoopenclaw |
| HIT | https://upxuu.com/posts/zk100days |
| HIT | https://upxuu.com/posts/zk66d |
| HIT | https://upxuu.com/posts/崔哥二三事 |
| HIT | https://upxuu.com/posts/我的新班主任崔 |
| HIT | https://upxuu.com/posts/轻舟已过万重山 |
| HIT | https://upxuu.com/talk/2026-06-06-emm-我还见过凌晨4点半的月亮-且天天看到呢 |
| HIT | https://upxuu.com/talk/2026-06-06-祝我哥高考顺利ww |
| HIT | https://upxuu.com/talk/2026-06-06-耗时1week-我终于有了自己的主题cubie |
| HIT | https://upxuu.com/talk/2026-06-07-1 |
| HIT | https://upxuu.com/talk/2026-06-07-omg高考期间的元宝ai还可以拍照答题 |
| HIT | https://upxuu.com/talk/2026-06-07-xucmstest |
| HIT | https://upxuu.com/talk/2026-06-07-英伟达的免费deepseek-v4-pro-竟然还能用 |
| HIT | https://upxuu.com/talk/2026-06-08-fix-r- |
| HIT | https://upxuu.com/talk/2026-06-23-我的中考争议崩溃与愤怒 |
| HIT | https://upxuu.com/talk/2026-06-28-明天该期末了 |
| HIT | https://upxuu.com/talk/2026-07-05-fix-waline-backend |
| HIT | https://upxuu.com/talk/2026-07-07-全新的rss订阅 |
| HIT | https://upxuu.com/talk/2026-07-18-服务器又崩咯 |
| HIT | https://upxuu.com/talk/2026-07-20-我这window-10磁铁有格调 |
| HIT | https://upxuu.com/talk/2026-07-22-umami莫名其妙寄了悲 |
| HIT | https://upxuu.com/talk/2026-07-24-明天我将这辈子第一次自己出省玩 |
| HIT | https://upxuu.com/talk/2026-07-31-杂记她独一无二的名字 |
| HIT | https://upxuu.com/talk/2026-08-04-opencode-go |
| HIT | https://upxuu.com/talk/2026-08-06-偶然发现cloudflare竟然还在这里保护着我们 |
| HIT | https://upxuu.com/talk/20260531150141 |
| HIT | https://upxuu.com/talk/666-我微信有点炸了 |
| HIT | https://upxuu.com/talk/7days |
| HIT | https://upxuu.com/talk/juiceup-二十周年限定好看的 |
| HIT | https://upxuu.com/talk/latest-biography-geography-class |
| HIT | https://upxuu.com/talk/中考出发 |
